,county,state_code,region_code,highest_price,lowest_price,crash_amount
955,De Soto Parish,22,31,153201.0,138088.0,0.09864818114764264
956,Somerset County,24,39,141852.0,106841.0,0.24681358035135212
957,Jackson County,40,65,55182.0,51820.0,0.060925664165851184
958,Monroe County,13,207,169479.0,135736.0,0.19909841337274825
959,Nicholas County,54,67,58710.0,52709.0,0.10221427354794754
960,Stephens County,13,257,106764.0,81895.0,0.2329343224307819
961,Ouachita County,5,103,48254.0,42861.0,0.11176275541923986
962,McNairy County,47,109,79103.0,69509.0,0.12128490701996132
963,Hardin County,47,71,94313.0,82391.0,0.12640887258384317
964,Chattooga County,13,55,81107.0,60403.0,0.25526773274809816
965,Franklin County,20,59,118211.0,110607.0,0.06432565497288746
966,Cleburne County,5,23,131985.0,120774.0,0.08494147062166155
967,Iosco County,26,69,101182.0,70667.0,0.3015852622007867
968,White County,47,185,94668.0,86067.0,0.09085435416402586
969,Grayson County,21,85,79022.0,73677.0,0.06763939156184354
970,Lee County,51,105,74915.0,63659.0,0.15025028365480878
971,Montezuma County,8,83,176866.0,166122.0,0.06074655388825438
972,Audrain County,29,7,87595.0,77343.0,0.11703864375820537
973,Tattnall County,13,267,97206.0,72346.0,0.25574553011131
974,Seminole County,40,133,46267.0,42500.0,0.08141872176713424
975,Abbeville County,45,1,91164.0,77179.0,0.15340485279276908
976,Yates County,36,123,134345.0,117801.0,0.12314563251330529
977,Hart County,13,147,152498.0,119408.0,0.2169864522813414
978,Plymouth County,19,149,118041.0,114200.0,0.03253954134580358
979,Todd County,27,153,132949.0,112107.0,0.15676688053313675
980,Jasper County,45,53,198598.0,154287.0,0.22311906464314846
981,Hickman County,47,81,111298.0,100057.0,0.1009991194810329
982,Grant County,21,81,153863.0,123933.0,0.19452369965488778
983,Poinsett County,5,111,57093.0,51935.0,0.09034382498730142
984,Columbia County,5,27,70364.0,64220.0,0.0873173782047638
985,Martin County,37,117,94259.0,74873.0,0.2056673633287007
986,Winston County,1,133,120103.0,100750.0,0.16113669100688577
987,Lamoille County,50,15,245896.0,222930.0,0.09339720857598334
988,Roscommon County,26,143,68290.0,49296.0,0.27813735539610485
989,Fredericksburg City,51,630,324534.0,274141.0,0.15527802942064622
990,Sabine Parish,22,85,224363.0,87686.0,0.6091779838921747
991,Page County,51,139,178771.0,148722.0,0.1680865464756588
992,Wyoming County,54,109,35733.0,28223.0,0.2101698709876025
993,Caswell County,37,33,95162.0,85247.0,0.10419074840797797
994,Fannin County,13,111,215649.0,158240.0,0.2662150067934468
995,Butts County,13,35,129529.0,95858.0,0.2599495093762787
996,King George County,51,99,314375.0,267490.0,0.14913717693836978
997,Antrim County,26,9,158202.0,126647.0,0.19946018381562813
998,Currituck County,37,53,321605.0,277835.0,0.13609863030736463
999,Routt County,8,107,405347.0,340075.0,0.1610274653568424
1000,Mitchell County,13,205,82703.0,63240.0,0.23533608212519497
1001,Crisp County,13,81,87188.0,69293.0,0.20524613478919118
1002,Johnson County,21,115,75154.0,70853.0,0.05722915613274077
1003,Teller County,8,119,210711.0,193935.0,0.07961615672651166
1004,Elbert County,8,39,354317.0,301569.0,0.1488723374831013
1005,Plaquemines Parish,22,75,272672.0,242968.0,0.10893674451355474
1006,Clark County,5,19,85216.0,75363.0,0.11562382651145325
1007,Union Parish,22,111,93382.0,76996.0,0.17547278918849457
1008,Logan County,8,75,112760.0,104060.0,0.0771550195104647
1009,Adair County,40,1,80542.0,62124.0,0.22867572198356137
1010,Grainger County,47,57,95747.0,86511.0,0.0964625523515097
1011,Barnwell County,45,11,85486.0,75491.0,0.11691972954635847
1012,Wyandot County,39,175,98064.0,88219.0,0.10039362049273944
1013,Emanuel County,13,107,67449.0,49673.0,0.2635472727542291
1014,Hopewell City,51,670,124919.0,105854.0,0.15261889704528533
1015,Taylor County,12,123,105234.0,62169.0,0.40923085694737443
1016,Fairfax City,51,600,524067.0,447324.0,0.14643738300637132
1017,Curry County,41,15,326300.0,234818.0,0.28036163040147105
1018,Hood River County,41,27,332618.0,260831.0,0.21582415864445098
1019,Dawson County,13,85,236758.0,178234.0,0.24718911293388185
1020,Macon County,47,111,89596.0,75610.0,0.15610071878208848
1021,Scott County,47,151,67023.0,60524.0,0.09696671291944556
1022,Beckham County,40,9,88213.0,78327.0,0.1120696495981318
1023,Overton County,47,133,94149.0,86447.0,0.0818064982102837
1024,Meriwether County,13,199,84466.0,69527.0,0.17686406364691118
1025,Morgan County,47,129,89717.0,78697.0,0.12283067868965748
1026,McDuffie County,13,189,100615.0,78097.0,0.22380360781195646
1027,Ashley County,5,3,66048.0,49422.0,0.25172601744186046
1028,Dodge County,13,91,66565.0,54833.0,0.17624877938856756
1029,Clay County,21,51,34474.0,29989.0,0.13009804490340546
1030,Jefferson County,41,31,180161.0,142293.0,0.21018977470151698
1031,Worth County,13,321,90402.0,76556.0,0.15316032831132054
1032,Anderson County,21,5,136379.0,124390.0,0.08790942887101387
