GISJOIN,county_name,total,bachelors_degree,gini_index,median_household_income,median_age,white,black,native_american,asian,poverty,owned,occupied
G0100010,Autauga County,49584,0.21837363754806316,0.41,67931.16,36,0.7908801226202,0.17856566634398194,0.003892384640206518,0.0062318489835430785,0.10306176031021529,0.7754811898512686,0.9198269791771452
G0100030,Baldwin County,171997,0.26627313741198294,0.437,64571.76,41,0.8651255545154858,0.0990017267743042,0.005703587853276511,0.0056977737983802046,0.1192493733008509,0.7745740689373257,0.6874103065883888
G0100050,Barbour County,29663,0.12364205952200495,0.471,42948.840000000004,37.5,0.5139062131274652,0.46327074132757984,0.004551124296261336,0.0009102248592522672,0.24749647652251316,0.6650070455612964,0.8216270453843779
G0100070,Bibb County,21464,0.1109117261370695,0.395,54431.520000000004,38.6,0.7627655609392471,0.23075847931420052,0.0009783824077525159,0.0023760715616846814,0.11896526526038875,0.786046511627907,0.8643464277509764
G0100090,Blount County,56804,0.12315450197546267,0.414,59935.920000000006,38.2,0.947926202380114,0.009629603549045842,0.007710724596859376,0.004348285332018872,0.10953931564618588,0.8284272935302683,0.8765899247777524
G0100110,Bullock County,10917,0.09023190442726634,0.54,34595.880000000005,37.4,0.244389484290556,0.7504809013465238,0.001190803334249336,0.0026564074379408264,0.32274184423910995,0.7029778569610587,0.8101030927835051
G0100130,Butler County,20189,0.12318732246972641,0.452,42158.16,39.2,0.5708554163158155,0.4125018574471247,0.0015354896230620634,0.005844766952300758,0.21991324523353173,0.6931479642502483,0.7751371115173674
G0100150,Calhoun County,112969,0.17500757465979896,0.454,50664.240000000005,38.1,0.7685205675893386,0.19611574856819128,0.005311191565827793,0.007957935362798645,0.17543731778425656,0.7152361518513795,0.8784942020054899
G0100170,Chambers County,34704,0.10330111710807079,0.418,42811.560000000005,39.6,0.6037056247118487,0.3730693868142001,0.0016424619640387275,0.0024204702627939143,0.16000348654773666,0.7328847279110591,0.8115873204321501
G0100190,Cherokee County,24427,0.09968461365172336,0.42,53116.8,43.5,0.9219306505096819,0.05620829410079011,0.0057313628362058375,0.00176034715683465,0.14646233290301086,0.7915407854984894,0.698502382573179
G0100210,Chilton County,42272,0.1133146485968709,0.449,51435.12,37.1,0.8667912566237699,0.1072104466313399,0.004021574564723694,0.0013720666161998487,0.1718850602122332,0.7653313550939663,0.864471996579735
G0100230,Choctaw County,14229,0.10822998872604284,0.436,40588.68,42.7,0.5493007238737789,0.43537845245625134,0,0.0011947431302270011,0.22795652486863888,0.8288927335640138,0.7127882599580713
G0100250,Clarke County,26438,0.13535665498604266,0.518,35745.6,38.9,0.5520084726529995,0.4175051062864059,0.01354111506165368,0.010061275436871171,0.2613994617454825,0.7930662058537639,0.7075500534922818
G0100270,Clay County,13769,0.08979550516298845,0.393,49700.64,41.6,0.8192316072336407,0.14627060788728302,0.0026871958747911977,0,0.17732721860165743,0.7526844475233807,0.8550273952317489
G0100290,Cleburne County,14579,0.10180770758839888,0.456,44539.44,40,0.9310652308114411,0.05357020371767611,0.0037039577474449552,0.0001371836202757391,0.1643835616438356,0.7533623792384921,0.8169297431135871
G0100310,Coffee County,46802,0.21544573335452089,0.448,55404.36,36.9,0.777979573522499,0.18108200504251956,0.007521046109140635,0.010020939276099311,0.16080028018562298,0.6775596816976127,0.864005133611404
