,county,GISJOIN,highest_price,lowest_price,crash_amount
269,Union County,G3701790,235025.0,182448.0,0.22370811615785555
270,Whatcom County,G5300730,308222.0,248658.0,0.1932503195748519
271,Champaign County,G1700190,146523.0,134370.0,0.08294260969267624
272,Yolo County,G0601130,501289.0,259523.0,0.4822886598349455
273,Saint Louis County,G2701370,145049.0,127366.0,0.12191052678749939
274,Mohave County,G0400150,266201.0,134766.0,0.4937434494986871
275,Saginaw County,G2601450,104183.0,73169.0,0.2976877225651018
276,Elkhart County,G1800390,131916.0,112676.0,0.1458503896418933
277,Clermont County,G3900250,179515.0,156253.0,0.12958248614321924
278,Sussex County,G1000050,334035.0,247142.0,0.26013142335384015
279,York County,G2300310,287050.0,229682.0,0.19985368402717296
280,Yuma County,G0400270,214004.0,113626.0,0.4690473075269621
281,Shelby County,G0101170,217062.0,186001.0,0.14309736388681574
282,Tuscaloosa County,G0101250,162117.0,145987.0,0.09949604298130363
283,Clay County,G1200190,223322.0,145293.0,0.3494013129024458
284,Saint Johns County,G1201090,371525.0,221794.0,0.40301729358724175
285,Litchfield County,G0900050,297199.0,208377.0,0.29886372430593644
286,Muscogee County,G1302150,135662.0,106910.0,0.21193849419881766
287,Canyon County,G1600270,164258.0,91155.0,0.445049860585177
288,Anderson County,G4500070,144954.0,128694.0,0.11217351711577465
289,Peoria County,G1701430,116014.0,103320.0,0.10941782888272106
290,Ulster County,G3601110,261454.0,193994.0,0.25801861895400335
291,Baldwin County,G0100030,218957.0,154324.0,0.2951858127394877
292,El Dorado County,G0600170,532778.0,283031.0,0.4687637252288946
293,Livingston County,G2600930,282431.0,159233.0,0.43620565731098926
294,Okaloosa County,G1200910,277370.0,167811.0,0.3949922486209756
295,Newport News City,G5107000,220134.0,167828.0,0.23760981947359336
296,Vanderburgh County,G1801630,112333.0,100551.0,0.1048845842272529
297,Hall County,G1301390,208782.0,134265.0,0.35691295226599995
298,Cabarrus County,G3700250,190760.0,152632.0,0.19987418746068358
299,Shawnee County,G2001770,116186.0,108471.0,0.0664021482794829
300,Berkeley County,G4500150,200717.0,149473.0,0.2553047325338661
301,Shasta County,G0600890,202081.0,121153.0,0.40047307762728807
302,Outagamie County,G5500870,157870.0,138158.0,0.12486222841578513
303,Forsyth County,G1301170,310542.0,238070.0,0.23337261948464297
304,Imperial County,G0600250,198123.0,117195.0,0.40847352402295545
305,Delaware County,G3900410,279921.0,249945.0,0.10708735678995145
306,Tippecanoe County,G1801570,137517.0,128024.0,0.0690314652006661
307,Hernando County,G1200530,212730.0,92426.0,0.5655243736191417
308,Muskegon County,G2601210,111208.0,79991.0,0.280708222430041
309,Monroe County,G4200890,209641.0,144643.0,0.31004431385082115
310,McLean County,G1701130,164207.0,150804.0,0.08162258612604822
311,Johnston County,G3701010,166057.0,145870.0,0.12156669095551527
312,Bay County,G1200050,265628.0,156572.0,0.41055912780279186
313,Carroll County,G2400130,392586.0,291428.0,0.25767093070053443
314,Licking County,G3900890,148785.0,125033.0,0.1596397486305743
315,Kenosha County,G5500590,191259.0,132963.0,0.304801342681913
316,Kent County,G4400030,287905.0,182021.0,0.36777409214845175
317,Middlesex County,G0900070,346506.0,266252.0,0.23160926506323123
318,Saint Clair County,G2601470,171917.0,96190.0,0.4404858158297318
319,Davidson County,G3700570,135004.0,118654.0,0.12110752274006696
320,Boone County,G2900190,168292.0,162600.0,0.03382216623487747
321,Beaufort County,G4500130,399555.0,256936.0,0.3569446008684662
322,Greene County,G3900570,171647.0,148392.0,0.1354815406036808
323,Portage County,G3901330,178812.0,133842.0,0.251493188376619
324,Sumner County,G4701650,203227.0,180046.0,0.11406456819221855
325,Jackson County,G2600750,130082.0,82009.0,0.36955920111929397
326,Charlotte County,G1200150,236973.0,123998.0,0.47674207610149677
327,Kenton County,G2101170,150060.0,129716.0,0.13557243769159003
328,Iredell County,G3700970,208611.0,165998.0,0.20427014874575167
329,Rensselaer County,G3600830,190900.0,167704.0,0.12150864326872708
330,Pueblo County,G0801010,139937.0,120800.0,0.13675439662133673
331,Sarpy County,G3101530,180221.0,169425.0,0.0599042286969887
332,Hampshire County,G2500150,280604.0,244916.0,0.12718279140710753
333,Deschutes County,G4100170,385717.0,207094.0,0.46309340786120395
334,Wyandotte County,G2002090,103623.0,65873.0,0.36430136166681143
335,Cumberland County,G3400110,191211.0,135149.0,0.29319442919078925
336,Berrien County,G2600210,168551.0,136650.0,0.18926615683087017
337,Chittenden County,G5000070,289841.0,263620.0,0.09046684216518712
338,Bibb County,G1300210,82868.0,63693.0,0.2313920934498238
339,Maui County,G1500090,744820.0,551476.0,0.25958486614215515
340,Schenectady County,G3600930,178146.0,157267.0,0.1172016211422092
341,Catawba County,G3700350,144586.0,125221.0,0.13393412916879918
342,Penobscot County,G2300190,156255.0,138956.0,0.1107100572781671
343,Ouachita Parish,G2200730,123592.0,119586.0,0.03241310117159687
344,Kings County,G0600310,218466.0,134310.0,0.38521325972920273
345,Tolland County,G0900130,276172.0,213202.0,0.22801008067436235
346,Monroe County,G2601150,191087.0,120130.0,0.37133347637463565
347,Santa Rosa County,G1201130,233107.0,154663.0,0.33651499096981213
348,Madera County,G0600390,255450.0,149837.0,0.41343902916422
349,Stearns County,G2701450,214453.0,143309.0,0.33174635001608743
350,Franklin County,G4200550,205545.0,154814.0,0.24681213359604953
351,Sussex County,G3400370,340484.0,212695.0,0.37531572702388366
352,Washington County,G2400430,266128.0,161872.0,0.39175133770215836
353,Mesa County,G0800770,264905.0,178914.0,0.32461070949963194
354,Charles County,G2400170,426045.0,253630.0,0.4046872982900867
355,Merrimack County,G3300130,272103.0,206892.0,0.23965557160340017
356,Martin County,G1200850,337037.0,177647.0,0.4729154365841139
357,Fairfield County,G3900450,172226.0,140814.0,0.1823882572898401
358,Hendricks County,G1800630,169915.0,156945.0,0.0763322837889533
359,Olmsted County,G2701090,188594.0,165623.0,0.12180132984082208
360,Santa Fe County,G3500490,372036.0,281213.0,0.24412422453741037
361,Cambria County,G4200210,87557.0,73851.0,0.15653802665692063
362,Randolph County,G3701510,129421.0,116594.0,0.09911065437602862
363,Citrus County,G1200170,190913.0,102472.0,0.4632528952978582
364,Lee County,G0100810,186840.0,159611.0,0.14573431813316207
365,Alexandria City,G5105100,566071.0,441818.0,0.21950073400686487
366,Houston County,G1301530,141558.0,126159.0,0.10878226592633408
